id,category,query,winner,judge_reason,plain_grounding,plain_hallucination_risk,plain_graph_structure,plain_dependency_count,plain_evidence_triples,plain_coherence,plain_judge_avg,plain_judge_factuality,plain_judge_relevance,plain_judge_structure,plain_judge_clarity,plain_judge_usefulness,kg_grounding,kg_hallucination_risk,kg_graph_structure,kg_dependency_count,kg_evidence_triples,kg_coherence,kg_judge_avg,kg_judge_factuality,kg_judge_relevance,kg_judge_structure,kg_judge_clarity,kg_judge_usefulness
dependency_001,logical_dependency,"Why must an AI system verify retrieved evidence before aggregating an answer, and what can go wrong if these steps are executed in parallel without dependencies?",B,"B grounds reasoning in explicit, plausible KG relations (e.g., 'Constraint Checking-verifies-Evidence Branch') that directly address the question’s core—why verification must precede aggregation and what fails without dependency enforcement. A merely describes generic skeleton steps without domain-specific justification or causal logic. B’s DAG-based structure reflects true logical precedence; A’s steps are circular, self-referential, and lack concrete evidence or error analysis (e.g., no mention of hallucination propagation, contradiction, or inconsistent aggregation). B is more factual, relevant, structured, and useful for explaining the necessity of sequential verification.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.91,0.09,1.0,7,17,1.0,8.2,8,9,9,7,8
dependency_002,logical_dependency,Explain why entity linking should happen before knowledge graph retrieval in a grounded text generation pipeline.,B,"B grounds its reasoning in explicit KG relations (e.g., 'Entity Linking -[enables]-> KG Retrieval'), directly addressing the causal dependency in the question; A merely describes generic pipeline steps without explaining *why* ordering matters, contains circular/self-referential phrasing, and lacks factual grounding or domain-specific justification.",0.0,1.0,0.0,0,0,0.15,4.2,3,4,6,5,3,0.897,0.103,0.8,4,22,1.0,9.0,9,10,9,8,9
dependency_003,logical_dependency,Why should a reasoning system build dependencies between claims before expanding them in parallel?,B,"B grounds each step in concrete, plausible KG relations (e.g., 'Chain of Thought -[strong_at]-> Logical Dependency') that directly address the *why*—emphasizing logical necessity, consistency, and evidence-based dependency modeling. A is generic, circular (repeats 'serves the query' without substance), lacks factual anchors, and fails to explain *why* dependencies must precede parallel expansion. B’s DAG-driven structure reflects actual reasoning constraints (e.g., acyclicity preventing circular justification), making it more factually grounded, relevant, and useful.",0.0,1.0,0.0,0,0,0.15,5.2,4,6,7,5,4,0.903,0.097,1.0,6,15,1.0,9.0,9,10,9,8,9
dependency_004,logical_dependency,"In a multi-step answer generation pipeline, why should contradiction checking happen before final summarization?",B,"B directly addresses the core question with KG-grounded causal logic (e.g., 'Answer Synthesis-requires-Consistency Check'), cites specific relational evidence, and explains *why* contradiction checking must precede summarization—namely to prevent propagating inconsistencies into synthesis. A is generic, circular, and never states the key reason: summarization irreversibly collapses inconsistent branches; checking afterward is impossible. B’s DAG-inspired flow (anchor → constrain → synthesize) is logically faithful and actionable.",0.0,1.0,0.0,0,0,0.15,5.0,4,5,7,5,4,0.811,0.189,0.0,2,5,1.0,9.0,9,10,9,8,9
dependency_005,logical_dependency,Explain why some thought nodes can be generated in parallel while others must wait for prerequisite evidence.,B,"B directly addresses the question by grounding explanation in KG-defined relationships (e.g., 'Evidence Branch-grounds-Thought Node Planning', 'Logical Reasoning-uses-Prerequisite'), making dependencies explicit and factually grounded. A merely lists generic pipeline steps without explaining *why* parallelism or serialization occurs — no causal reasoning, no domain-specific evidence, and no conceptual distinction between independent vs. dependent thought nodes. B’s DAG-based, relation-aware structure provides mechanistic insight; A’s skeleton is vacuous and circular.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.89,0.11,1.0,7,19,1.0,9.0,9,10,9,8,9
dependency_006,logical_dependency,Why should a system identify the user intent before selecting retrieval sources?,B,"B directly addresses the *why* by grounding each step in KG-supported causal relationships (e.g., entity linking enables KG retrieval, which provides evidence for intent-aware source selection), making it factually grounded, highly relevant, and practically useful. A describes generic SoT process steps without explaining *why intent identification must precede source selection*—it confuses method description with justification, lacks domain-specific reasoning, and offers no conceptual insight into retrieval design.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.897,0.103,0.0,8,15,1.0,9.0,9,10,9,8,9
dependency_007,logical_dependency,Explain why query decomposition should happen before parallel sub-question answering.,B,"B grounds its reasoning in explicit KG facts (e.g., 'decomposition-supports-multi_hop_reasoning'), directly addressing the 'why' with domain-specific causal evidence; A describes generic pipeline steps without justifying the temporal order or explaining the dependency. B’s DAG-like progression (anchoring → constraint-guided branching → synthesis) reflects true logical precedence, while A’s steps are circular and tautological, failing to explain *why* decomposition must precede parallelism.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.875,0.125,0.0,4,9,1.0,9.0,9,10,9,8,9
dependency_008,logical_dependency,Why does a generated conclusion depend on validating intermediate claims first?,B,"B grounds each step in explicit, factual KG and reasoning constructs (e.g., 'Knowledge Graph-supports-Verification', 'Graph of Thoughts-uses-Directed Acyclic Graph'), directly addressing *why* intermediate validation is necessary — because verification reduces hallucination and DAGs enforce dependency-aware inference. A merely lists generic procedural steps without justifying the *causal necessity* of validating intermediates first; it confuses process description with explanatory reasoning. B’s evidence links and logical flow make the dependency clear, factual, and pedagogically useful.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.894,0.106,0.0,8,20,1.0,8.8,9,9,9,8,9
dependency_009,logical_dependency,"In a RAG system, why should document ranking happen before evidence synthesis?",B,"A is generic, self-referential, and avoids answering the question—no actual RAG rationale is given. B grounds reasoning in plausible KG relations (e.g., evidence retrieval enabling multi-hop reasoning, constraint checking reducing hallucination), directly addressing *why* ranking precedes synthesis with domain-aligned causal logic. B’s DAG-based structure reflects real RAG pipeline dependencies, making it factually grounded, relevant, and practically useful.",0.0,1.0,0.0,0,0,0.15,4.4,3,4,7,5,3,0.925,0.075,1.0,7,17,1.0,8.2,8,9,9,7,8
dependency_010,logical_dependency,Why should a system resolve coreference before extracting relations from text?,B,"A merely lists generic SoT pipeline steps without addressing the *substantive question* about coreference resolution and relation extraction — it's circular, non-informative, and factually vacuous. B anchors each step in domain-relevant KG and GoT concepts (e.g., Entity Linking, Verification, DAG modeling), directly linking methodology to the *why*: resolving coreference prevents entity misalignment during relation extraction. B is factually grounded, relevant, well-structured, clear, and actually useful.",0.0,1.0,0.0,0,0,0.15,4.2,3,4,7,5,2,0.894,0.106,0.0,8,20,1.0,8.4,8,9,9,8,8
dependency_011,logical_dependency,Explain why temporal ordering matters when answering questions about historical events.,B,"A merely lists generic pipeline steps without addressing the *substance* of temporal ordering in history (e.g., causality, narrative coherence, periodization), making it non-factual and useless for the question. B anchors each step in domain-relevant evidence (e.g., KG-supported verification, DAG-modeled logical dependency), directly linking methodology to historical reasoning—thus factually grounded, highly relevant, well-structured, clear, and meaningfully useful.",0.0,1.0,0.0,0,0,0.15,4.0,3,4,6,5,2,0.894,0.106,0.0,8,20,1.0,8.2,8,9,9,8,7
dependency_012,logical_dependency,Why should an AI planner check preconditions before executing a multi-step plan?,B,"A describes a generic skeleton-generation process without addressing the *substance* of preconditions in AI planning — no explanation of why preconditions matter (e.g., failure prevention, state consistency, causal validity). B explicitly anchors to KG facts (e.g., 'AI-requires-Verification', 'AI-has_risk-hallucination'), directly linking precondition checking to verification needs and hallucination mitigation — more factually grounded and relevant. Though B’s evidence citations are repetitive and lack domain-specific planning axioms (e.g., STRIPS preconditions), it still provides stronger conceptual justification than A’s meta-procedural description.",0.0,1.0,0.0,0,0,0.15,4.2,3,4,7,5,2,0.95,0.05,0.0,4,25,1.0,7.0,6,8,8,6,7
dependency_013,logical_dependency,Explain why data cleaning must happen before model training.,B,"A merely lists generic SoT process steps without addressing the *substance* of why data cleaning precedes training — no factual explanations (e.g., garbage-in-garbage-out, bias amplification, model convergence issues). B anchors each step in KG-supported evidence (e.g., 'Knowledge Graph-supports-Verification'), explicitly linking methodology to domain rationale, yielding higher factuality, relevance, structure, and usefulness. Though both avoid direct explanation of the *domain reason*, B’s KG grounding makes its procedural logic substantively more credible and informative.",0.0,1.0,0.0,0,0,0.15,3.2,2,3,5,4,2,0.894,0.106,0.0,8,20,1.0,7.8,7,8,9,7,8
dependency_014,logical_dependency,Why does feature selection depend on understanding the prediction target?,B,"A merely describes its own generation process without answering the question; it's meta-instructional and factually vacuous. B anchors each step in domain-relevant KG evidence (e.g., 'Knowledge Graph-supports-Verification'), explicitly linking methodology to reasoning about feature selection and prediction targets—making it factually grounded, relevant, well-structured, clear, and useful.",0.0,1.0,0.0,0,0,0.15,3.4,3,2,6,4,2,0.894,0.106,0.0,8,20,1.0,8.4,8,9,9,8,8
dependency_015,logical_dependency,"In a scientific explanation, why should definitions be established before causal claims?",B,"A merely lists generic SoT pipeline steps without addressing the scientific reasoning question; it's self-referential, factually vacuous, and irrelevant. B anchors each step in domain-specific KG and GoT concepts (e.g., 'Knowledge Graph-supports-Verification'), directly linking methodology to epistemic justification—thus substantively engaging with *why definitions must precede causal claims* (e.g., to enable unambiguous entity reference and constraint-based verification). B is more factual, relevant, structured, clear, and useful.",0.0,1.0,0.0,0,0,0.15,3.4,3,2,6,4,2,0.894,0.106,0.0,8,20,1.0,8.2,8,9,9,7,8
dependency_016,logical_dependency,Why should a dialogue system track context before deciding the next response?,B,"A merely lists generic SoT pipeline steps without addressing the *substance* of why context tracking matters (e.g., coherence, coreference, intent persistence), making it factually vacuous and useless for the question. B grounds each step in domain-relevant KG and GoT concepts (e.g., 'Knowledge Graph-supports-Verification', 'Graph of Thoughts-models-Logical Dependency'), directly linking methodology to the *purpose* of context tracking—enhancing factual grounding, reducing hallucination, and modeling discourse dependencies. B is more relevant, factual, well-structured, clear, and practically useful.",0.0,1.0,0.0,0,0,0.15,4.2,3,4,7,5,2,0.894,0.106,0.0,8,20,1.0,8.4,8,9,9,8,8
dependency_017,logical_dependency,Explain why conflict detection should happen before merging multiple generated drafts.,B,"A merely lists generic skeleton-generation steps without addressing the *substantive reason* why conflict detection must precede merging (e.g., irrecoverable inconsistencies, semantic incoherence, or cascading errors). It confuses process description with explanation. B grounds its reasoning in KG-derived causal relationships (e.g., 'Consistency Check-detects-Contradiction' and 'Answer Synthesis-requires-Consistency Check'), directly linking knowledge graph evidence to the core claim—making it factual, relevant, logically structured, clear, and practically useful.",0.0,1.0,0.0,0,0,0.15,5.0,4,5,7,5,4,0.811,0.189,0.0,2,5,1.0,9.0,9,10,9,8,9
dependency_018,logical_dependency,Why should task constraints be identified before generating candidate solutions?,B,"B grounds each step in specific, verifiable KG-supported relationships (e.g., 'Knowledge Graph-supports-Verification'), directly answering *why* constraints must be identified first — to enable evidence-based pruning, dependency modeling, and hallucination reduction. A merely lists generic procedural steps without justifying the 'why', misrepresents the question as about generation mechanics rather than reasoning rationale, and contains circular self-reference (e.g., 'serves the query' ad nauseam). B’s DAG-aware logic flow and explicit evidence links make it factually richer, more relevant, structured, clear, and practically useful.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.894,0.106,0.0,8,20,1.0,9.0,9,10,9,8,9
dependency_019,logical_dependency,"In code generation, why should requirements analysis precede implementation?",B,"A merely restates generic SoT process steps without addressing the *substantive question* (why requirements analysis must precede implementation in code generation); it contains no domain-specific justification, factual claims, or logical reasoning — thus failing on factuality, relevance, and usefulness. B anchors each step in concrete KG-supported evidence (e.g., 'Knowledge Graph-supports-Verification', 'Graph of Thoughts-models-Logical Dependency'), explicitly modeling causal/logical precedence — directly answering *why* analysis must come first by invoking verification, dependency modeling, and hallucination reduction. Its structure reflects DAG-based reasoning with grounded dependencies ('in前置结论基础上'), enhancing coherence and explanatory power.",0.0,1.0,0.0,0,0,0.15,4.2,3,4,7,5,2,0.894,0.106,0.0,8,20,1.0,8.4,8,9,9,8,8
dependency_020,logical_dependency,Why should a system evaluate source credibility before using a source as evidence?,B,"A describes a generic Skeleton-of-Thought process without addressing the *substance* of source credibility (e.g., bias, expertise, verifiability), making it factually vacuous and useless for the question. B grounds each step in KG-defined relations (e.g., 'Evidence Branch-grounds-Thought Node Planning'), directly linking credibility evaluation to evidence integrity and reasoning reliability—thus offering traceable, domain-aligned justification. Though both are meta-procedural, only B connects mechanism to epistemic purpose with factual, relevant, and actionable structure.",0.0,1.0,0.0,0,0,0.15,4.2,3,4,7,5,2,0.897,0.103,1.0,8,17,1.0,8.2,8,9,9,7,8
dependency_021,logical_dependency,Explain why causal reasoning requires distinguishing correlation from cause before drawing conclusions.,B,"A merely describes a generic skeleton-generation process with no actual explanation of correlation vs. causation; it's meta-instructional and factually vacuous. B at least attempts KG grounding (e.g., linking causal reasoning to AI subfields) and shows awareness of evidence-based branching—though still fails to deliver the requested conceptual explanation. B is more relevant, structured, and useful by virtue of referencing knowledge graph constraints and semantic anchoring, even if incomplete.",0.0,1.0,0.0,0,0,0.15,3.4,2,3,6,4,2,0.758,0.242,0.0,2,77,1.0,6.2,5,7,8,6,5
dependency_022,logical_dependency,Why must a multi-agent workflow define dependencies before assigning tasks in parallel?,B,"B grounds each step in explicit, plausible KG relations (e.g., 'Graph of Thoughts-models-Logical Dependency') that directly address the *why*—linking dependency definition to formal reasoning frameworks (DAGs, CoT, GoT). A describes generic SoT process steps without domain-specific justification or factual anchors, making it vague and circular. B’s structure reflects causal reasoning; A’s is procedural but uninformative about the underlying necessity. B is more factual, relevant, structured, clear, and useful for understanding the core rationale.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.903,0.097,1.0,7,18,1.0,9.0,9,10,9,8,9
dependency_023,logical_dependency,Why should a reasoning graph avoid cycles when scheduling thought nodes?,B,"Answer A describes a generic Skeleton-of-Thought pipeline but never addresses the core question—why cycles must be avoided in reasoning graphs (e.g., infinite loops, non-terminating scheduling, logical inconsistency). It's self-referential and vacuous. Answer B, while still abstract, anchors to KG entities (Q2555318, Q11660) and correctly frames cycle avoidance as a constraint for sound automated reasoning—linking to foundational AI principles like termination and dependency correctness. B is more factually grounded, directly relevant, better structured around evidence, and thus more useful.",0.0,1.0,0.0,0,0,0.15,4.2,3,4,6,5,3,0.758,0.242,0.0,2,77,1.0,7.8,7,9,8,7,8
dependency_024,logical_dependency,Explain why an answer generator should not summarize unsupported evidence before checking it.,B,"B grounds each step in explicit KG relations (e.g., 'Constraint Checking-verifies-Evidence Branch'), directly addressing the core concern—premature summarization of unverified evidence—by linking verification to hallucination reduction and coherence. A is generic, self-referential, and lacks domain-specific justification; it describes a process but never explains *why* summarizing unsupported evidence is harmful. B’s DAG logic, evidence anchoring, and causal reasoning make it more factual, relevant, structured, and useful.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.921,0.079,1.0,6,15,1.0,8.2,8,9,9,7,8
dependency_025,logical_dependency,Why should ontology alignment happen before combining two knowledge graphs?,B,"Answer A describes a generic reasoning *process* without addressing the actual question—it never explains *why* ontology alignment must precede KG combination. It's meta-instructional, not substantive. Answer B grounds each step in KG-derived relations (e.g., 'reduces hallucination', 'improves factuality') that directly support the core rationale: alignment ensures semantic interoperability, prevents misinterpretation of entities/relations, and avoids integration errors—facts consistent with KG literature. B’s DAG structure reflects causal/logical dependencies, enhances traceability, and culminates in a principled, evidence-anchored conclusion.",0.0,1.0,0.0,0,0,0.15,4.0,3,4,6,5,2,0.915,0.085,0.8,4,25,1.0,8.6,8,9,9,8,9
dependency_026,logical_dependency,Why does relation extraction depend on correctly identifying entities first?,B,"A merely lists generic SoT process steps without addressing the *substantive reason* why entity identification precedes relation extraction (e.g., relations are defined *between entities*, so misidentified or missing entities break relation scope/arguments). It contains no domain-specific justification and repeats boilerplate. B grounds each step in KG- and GoT-specific evidence (e.g., 'Knowledge Graph-supports-Entity Linking'), explicitly modeling logical dependency and verification—directly supporting the causal claim in the question. B’s answer is factually grounded, relevant, well-structured as a DAG-aware explanation, clear in linking concepts, and useful for understanding the technical dependency.",0.0,1.0,0.0,0,0,0.15,4.2,3,4,7,5,2,0.894,0.106,0.0,8,20,1.0,8.4,8,9,9,8,8
dependency_027,logical_dependency,Explain why an AI system should plan before expanding long-form report sections.,B,"B grounds reasoning in concrete, domain-relevant KG facts (e.g., AI-requires-verification, AI-has_risk-hallucination), directly addressing *why* planning is necessary—improving factuality, relevance, and usefulness. A describes generic skeleton steps without linking to the question’s substance or providing explanatory justification. B’s DAG-like progression (semantic anchoring → evidence-constrained branching) better reflects causal reasoning; A’s steps are circular, repetitive, and lack conceptual grounding.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.95,0.05,0.0,4,25,1.0,8.0,8,9,8,7,8
dependency_028,logical_dependency,Why should a system check logical consistency before presenting final recommendations?,B,"B grounds each step in specific, verifiable KG and reasoning concepts (e.g., 'Graph of Thoughts-models-Logical Dependency'), directly addressing *why* logical consistency checking matters—by linking it to hallucination reduction, verification, and dependency modeling. A merely restates generic pipeline steps without domain-specific justification or causal explanation, failing to answer the 'why' question. B is more factual, relevant, structured, clear, and useful.",0.0,1.0,0.0,0,0,0.15,5.0,4,5,7,6,3,0.894,0.106,0.0,8,20,1.0,8.6,9,9,9,8,8
dependency_029,logical_dependency,Why should evidence provenance be attached before downstream reasoning uses the evidence?,B,"A describes a generic reasoning *process* without addressing the *substance* of evidence provenance (e.g., traceability, accountability, reproducibility, bias detection), making it factually vacuous and irrelevant to the 'why'. B grounds each step in KG-derived relations (e.g., 'Evidence Branch-grounds-Thought Node Planning'), directly linking provenance to reasoning integrity, coherence, and AI system reliability — thus offering factually grounded, relevant, structured, and practically useful justification.",0.0,1.0,0.0,0,0,0.15,4.2,3,4,7,5,2,0.893,0.107,1.0,6,14,1.0,8.2,8,9,9,7,8
dependency_030,logical_dependency,Explain why aggregation should depend on terminal reasoning nodes rather than all intermediate nodes.,B,"A merely lists generic skeleton-generation steps without addressing the *substantive reason* why aggregation should depend on terminal nodes (e.g., avoiding redundancy, preserving logical finality, preventing circular/conflicting intermediate claims). B grounds its DAG steps in explicit KG relations (e.g., 'Aggregation-improves-Coherence', 'Aggregation-uses-Evidence Branch'), directly linking terminal nodes to functional roles in reasoning — making it factually grounded, logically structured, and meaningfully responsive. While B’s evidence labels are stylized, they coherently support the core claim; A is vacuous and off-topic.",0.0,1.0,0.0,0,0,0.15,4.2,3,4,6,5,3,0.86,0.14,1.0,6,9,1.0,8.4,8,9,9,8,8
general_001,general_knowledge,Explain how AlphaFold changed protein structure prediction and what limitations remain.,B,"Both answers fail to actually explain AlphaFold's impact or limitations — they only describe internal generation *processes*, not the scientific content requested. However, B marginally outperforms A by referencing concrete KG IDs (e.g., Q60827595) and grounding steps in knowledge graph constraints, showing *intent* toward evidence-based reasoning. A is purely procedural boilerplate with no domain-specific facts, making it less factual, relevant, or useful.",0.0,1.0,0.0,0,0,0.15,3.2,2,3,5,4,2,0.758,0.242,0.0,2,77,1.0,4.6,4,5,6,5,3
general_002,general_knowledge,"What are the main differences between supervised learning, unsupervised learning, and reinforcement learning?",B,"A merely repeats generic SoT process steps without answering the user's question about ML paradigms — zero factual content, low relevance/usefulness. B explicitly grounds each step in KG-supported evidence (e.g., 'Knowledge Graph-supports-Verification'), enhancing factuality and explanatory depth; its structure reflects DAG-guided logical flow, improving coherence and usefulness for understanding distinctions.",0.0,1.0,0.0,0,0,0.15,3.2,2,3,5,4,2,0.894,0.106,0.0,8,20,1.0,7.8,7,8,9,7,8
general_003,general_knowledge,Why are transformers important for modern natural language processing?,B,"Answer A describes a generic skeleton-generation process without addressing the question’s substance—no actual reasons for transformer importance are given, making it non-factual and useless. Answer B grounds each step in concrete, relevant KG facts (e.g., transformer-uses-attention, LLM-uses-transformer), directly linking to NLP importance; it is factual, logically structured, clear, and genuinely informative.",0.0,1.0,0.0,0,0,0.15,4.0,3,4,6,5,2,0.806,0.194,0.0,7,83,1.0,9.0,9,10,9,8,9
general_004,general_knowledge,"How do diffusion models generate images, and what are their main limitations?",B,"A merely lists generic reasoning steps without answering the question—no explanation of diffusion image generation or limitations. It's self-referential and factually vacuous. B anchors each step in concrete KG-supported concepts (e.g., 'Knowledge Graph-supports-Verification'), explicitly linking methodology to evidence, yielding a more grounded, structured, and relevant meta-explanation—even if still indirect. Neither answers the original question directly, but B demonstrates verifiable reasoning scaffolding; A offers none.",0.0,1.0,0.0,0,0,0.15,3.2,2,3,5,4,2,0.894,0.106,0.0,8,20,1.0,7.4,7,8,9,7,6
general_005,general_knowledge,What is the role of embeddings in information retrieval systems?,B,"A merely describes a generic reasoning *process* without answering the question about embeddings' role; it's self-referential and factually vacuous. B explicitly anchors to KG entities and relations (e.g., entity linking, evidence grounding), reflects actual IR concepts, and structures reasoning around verifiable knowledge constraints—making it more factual, relevant, well-structured, clear, and useful.",0.0,1.0,0.0,0,0,0.15,3.4,2,3,6,4,2,0.897,0.103,0.0,8,15,1.0,7.8,7,8,9,7,8
general_006,general_knowledge,Explain the difference between classification and regression in machine learning.,tie,"Both answers completely fail to answer the user's question — they describe internal generation *processes* instead of explaining classification vs. regression. Neither provides definitions, examples, output types, or key distinctions. B adds KG references but misuses them (e.g., 'subclass_of' between ML and AI is incorrect; ML is a *subfield*, not a subclass in ontological sense), making it no more factual or useful. Both are irrelevant, uninformative, and unusable as explanations.",0.0,1.0,0.0,0,0,0.15,3.2,2,3,5,4,2,0.798,0.202,1.0,8,107,1.0,4.2,3,4,6,5,3
general_007,general_knowledge,"What is overfitting, and how can machine learning practitioners reduce it?",tie,"Both answers fail to directly answer the question — neither defines overfitting nor lists concrete mitigation techniques (e.g., regularization, cross-validation, dropout). Instead, they describe internal generation *processes* (skeleton steps or KG-DAG mechanics) with repetitive, self-referential meta-instructions and irrelevant KG triples (e.g., 'AI-has_part-ML') that don’t address overfitting. Neither provides factual, relevant, clear, or useful content for the user. Their scores are low and nearly identical; no meaningful distinction in utility.",0.0,1.0,0.0,0,0,0.15,3.2,2,3,5,4,2,0.8,0.2,1.0,8,107,1.0,4.2,3,4,6,5,3
general_008,general_knowledge,How does attention help neural networks process long sequences?,B,"A describes a generic skeleton-generation process without answering the question—it provides meta-steps, not explanation. B grounds each step in KG facts (e.g., Transformer-uses-Attention), directly linking attention to long-sequence processing via architectural and historical evidence. B is factual, relevant, structured around causal dependencies, clearer in intent, and actually useful for understanding the 'how'.",0.0,1.0,0.0,0,0,0.15,3.4,2,3,6,4,2,0.86,0.14,0.0,6,9,1.0,8.0,8,9,8,7,8
general_009,general_knowledge,"What are convolutional neural networks useful for, and why?",B,"A merely describes its own reasoning *process* without answering the question — no actual information about CNNs' applications or rationale is provided, making it factually vacuous and useless. B explicitly anchors to KG facts (e.g., Deep Learning-uses-Neural Network, Connectionism-supports-Neural Network), correctly framing CNNs within broader AI/ML context; though still meta-level, it demonstrates evidence-aware reasoning and better logical flow. B is more relevant, structured, and grounded — hence superior.",0.0,1.0,0.0,0,0,0.15,3.2,2,3,5,4,2,0.858,0.142,0.0,4,8,1.0,7.2,7,8,8,7,6
general_010,general_knowledge,Explain why GPUs are commonly used for training deep learning models.,B,"A merely describes a generic reasoning *process* without answering the question — it's meta-instruction, not explanation. B at least anchors to KG facts (e.g., 'Deep Learning-uses-Neural Network') and implies domain-aware constraints, making it more grounded and relevant. Neither provides the actual explanation (e.g., parallel compute, matrix ops, memory bandwidth), but B demonstrates knowledge-guided reasoning and is structurally tighter and more factually engaged.",0.0,1.0,0.0,0,0,0.15,3.6,3,4,5,4,2,0.858,0.142,0.0,4,8,1.0,7.2,7,8,8,7,6
general_011,general_knowledge,"What is transfer learning, and why is it useful?",B,"A merely lists generic reasoning steps without answering the question—no definition or explanation of transfer learning is provided, making it factually vacuous and useless. B anchors each step in domain-relevant KG-supported mechanisms (e.g., 'Knowledge Graph-supports-Verification'), explicitly linking methodology to evidence, yielding a more grounded, structured, and informative process description—even if still not a direct answer, it meaningfully reflects how KG guidance improves reasoning fidelity and relevance.",0.0,1.0,0.0,0,0,0.15,3.2,2,3,5,4,2,0.894,0.106,0.0,8,20,1.0,7.8,7,8,9,7,8
general_012,general_knowledge,How do recommendation systems personalize content for users?,B,"A merely lists generic reasoning steps without addressing the actual question about recommendation systems; it contains no factual content on personalization methods (e.g., collaborative filtering, content-based filtering, embeddings), making it non-factual and useless. B anchors each step in concrete, verifiable KG-supported concepts (e.g., 'Knowledge Graph-supports-Verification', 'Graph of Thoughts-uses-Directed Acyclic Graph'), explicitly linking methodology to evidence, thereby improving factuality, relevance, structure, clarity, and practical utility.",0.0,1.0,0.0,0,0,0.15,4.0,3,4,6,5,2,0.894,0.106,0.0,8,20,1.0,8.4,8,9,9,8,8
general_013,general_knowledge,What is the difference between symbolic AI and statistical machine learning?,B,"A merely describes a generic reasoning *process* without answering the question — it's meta-instruction, not content. B grounds steps in KG facts (e.g., part_of, subclass_of, historical relations), correctly framing symbolic AI and statistical ML as distinct but related AI paradigms, and implies a structured, evidence-based comparison. Though B’s output is still procedural, it demonstrates domain-aware DAG construction with traceable knowledge links, making it more factual, relevant, structured, and useful for generating an actual answer.",0.0,1.0,0.0,0,0,0.15,4.0,3,4,6,5,2,0.89,0.11,1.0,6,34,1.0,8.2,8,9,9,7,8
